decorated,owner_unit,n_emitters,method
?getAnimTimer@Boss@@QAEMXZ,Mizu,12,ilk-range
?getAnimationKeyOption@BTeki@@QAE_NH@Z,taiotimoti,10,ilk-range
?getAnimationSpeed@PaniAnimator@@QAEMXZ,panipikianimmgr,3,ilk-range
?getAttackHitRange@BTeki@@QAEMXZ,tekibteki,3,ilk-range
?getAttackRange@BTeki@@QAEMXZ,tekibteki,4,ilk-range
?getAttackableRange@BTeki@@QAEMXZ,tekibteki,4,ilk-range
?getBgmVol@GamePrefs@@QAEEXZ,gamePrefs,4,ilk-range
?getCentre@Boss@@UAE?AVVector3f@@XZ,Boss,11,ilk-range
?getCharColor@P2DTextBox@@QBE?AVColour@@XZ,drawMenu,5,link-order
?getChildCount@NNode@@QAEHXZ,peve,2,ilk-range
?getChildMode@GamePrefs@@QAE_NXZ,titles,4,ilk-range
?getCnt@RefCountable@@QAEHXZ,piki,3,ilk-range
?getColorTotal@PikiInfMgr@@QAEHH@Z,memoryCard,4,ilk-range
?getColour@P2DStream@@QAEXPAVColour@@@Z,P2DTextBox,2,ilk-range
?getCounter@PaniAnimator@@QAEMXZ,tekibteki,8,ilk-range
?getCreaturePointer@BTeki@@QAEPAVCreature@@H@Z,tekibteki,18,ilk-range
?getCurrAction@TopAction@@QAEPAVAction@@XZ,navi,9,ilk-range
?getCurrID@?$StateMachine@VNavi@@@@QAEHPAVNavi@@@Z,navi,3,ilk-range
?getCurrState@AICreature@@UAEPAV?$AState@VAICreature@@@@XZ,itemMgr,16,link-order
?getCurrState@Navi@@QAEPAV?$AState@VNavi@@@@XZ,navi,5,ilk-range
