rva,va,kind,size,name_mangled,name,source
0x004844a4,0x104844a4,string,0,??_C@_0BA@BAKK@DYING?5or?5DEAD?5?6?$AA@,"""DYING or DEAD \n""",ilk
0x004844b4,0x104844b4,string,0,??_C@_0BC@CKLE@play?5dead?5sound?$CB?6?$AA@,"""play dead sound!\n""",ilk
0x004844c8,0x104844c8,string,0,??_C@_0BJ@FJBP@FL_STICK_MOUTH?5is?5false?6?$AA@,"""FL_STICK_MOUTH is false\n""",ilk
0x004844e4,0x104844e4,string,0,??_C@_0BA@IODD@?5?$CFx?5?3?5flags?$DN?$CFx?6?$AA@,""" %x : flags=%x\n""",ilk
0x004844f4,0x104844f4,string,0,??_C@_0BH@LLMF@CHAPPY?5no?5stickers?5?$DN?$DN?6?$AA@,"""CHAPPY no stickers ==\n""",ilk
0x0048450c,0x1048450c,string,0,??_C@_0CC@CFE@p?9?$DO_stickObject?5?$DN?5?$CFx?5sender?5?$DN?5?$CFx@,"""p->_stickObject = %x sender = %x""...",ilk
0x00484530,0x10484530,string,0,??_C@_0CD@CMMB@?$IC?$LP?$IC?a?$IC?q?$IC?F?$IDX?$IDe?$IDB?$IDb?$IDN?$IC?$LF?$IC?D?$IC?$NM?$IC?$LJ?$IC?q?5?$IM?$PL?$IC@,"""\x82\xBF\x82\xE1\x82\xF1\x82\xC6\x83X\x83e\x83B\x83b\x83N\x82\xB5\x82\xC4\x82\xDC\x82\xB9\x82\xF1 \x8C\xFB\x82""...",ilk
0x00484554,0x10484554,string,0,??_C@_0BE@CBJG@WHY?$DN?$DN?$DN?$DN?$DN?$DN?$DN?$DN?$DN?$DN?$DN?$DN?$DN?$DP?$DP?6?$AA@,"""WHY=============??\n""",ilk
0x00484568,0x10484568,string,0,??_C@_0BM@CAPL@?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9?6?$AA@,"""--------------------------\n""",ilk
0x00484584,0x10484584,string,0,??_C@_0CK@HKBD@object?5?$CFx?5?$CItype?5?$CFd?$CJ?5is?5stick?5to?5@,"""object %x (type %d) is stick to ""...",ilk
