rva,kind,size,name_mangled,name,source
0x000105a0,function,227,,GamePrefs::setVibeMode,ghidra
0x00010690,function,227,,GamePrefs_Print,ghidra
0x00010780,function,113,,GamePrefs::setChildMode,ghidra
0x00010800,function,95,,GamePrefs::getChallengeScores,ghidra
0x00010860,function,392,,GamePrefs::checkIsHiscore,ghidra
0x000109f0,function,638,,GamePrefs::checkIsHiscore,ghidra
0x00010c70,function,191,,GamePrefs::write,ghidra
0x00010d30,function,36,,GamePrefs::fixSoundMode,ghidra
0x00010d60,function,313,,GamePrefs::read,ghidra
0x00010ea0,function,264,,PlayState::write,ghidra
0x00010fb0,function,252,,PlayState::read,ghidra
0x000110b0,function,179,,GameHiscores::write,ghidra
0x00011170,function,101,,GameRecMinDay::write,ghidra
0x000111e0,function,74,,GameRecBornPikmin::write,ghidra
0x00011230,function,74,,GameRecDeadPikmin::write,ghidra
0x00011280,function,104,,GameRecChalCourse::write,ghidra
0x000112f0,function,177,,GameHiscores::read,ghidra
0x000113b0,function,97,,GameRecMinDay::read,ghidra
0x00011420,function,72,,GameRecBornPikmin::read,ghidra
0x00011470,function,72,,GameRecDeadPikmin::read,ghidra
0x000114c0,function,102,,GameRecChalCourse::read,ghidra
0x00011530,function,42,,GamePrefs::getBgmVol,ghidra
0x00011560,function,42,,GamePrefs::getSfxVol,ghidra
0x00011590,function,210,,CineShapeObject::init,ghidra
0x00011670,function,395,,CinematicPlayer::init,ghidra
0x00011800,function,296,,CinematicPlayer::CinematicPlayer,ghidra
0x00011930,function,1583,,FUN_10011930,ghidra
0x00011f60,function,1173,,FUN_10011f60,ghidra
0x00012400,function,1026,,FUN_10012400,ghidra
0x00012810,function,227,,CinePlayer_Print,ghidra
0x00012900,function,2879,,CinematicPlayer::loadCin,ghidra
0x00013440,function,271,,CinematicPlayer::addSceneSD,ghidra
0x00013550,function,203,,CinematicPlayer::addSceneC,ghidra
0x00013620,function,110,,CinematicPlayer::addCut,ghidra
0x00013690,function,77,,CinematicPlayer::addActor,ghidra
0x000136e0,function,211,,CinematicPlayer::addActorCCC,ghidra
0x000137c0,function,224,,CinematicPlayer::addSceneCut,ghidra
0x000138a0,function,160,,CinematicPlayer::skipScene,ghidra
0x00013940,function,1691,,CinematicPlayer::update,ghidra
0x00013fe0,function,61,,zen_AbsF,ghidra
0x00014020,function,191,,CinematicPlayer::addLights,ghidra
0x000140e0,function,226,,CinematicPlayer::refresh,ghidra
0x000141d0,function,232,,SceneCut::addInstance,ghidra
0x000142c0,function,94,,SceneCut::countEKeys,ghidra
0x00014320,function,66,,FUN_10014320,ghidra
0x00014370,function,79,,FUN_10014370,ghidra
0x000143c0,function,93,,FUN_100143c0,ghidra
0x00014420,function,84,,FUN_10014420,ghidra
0x00014480,function,197,,FUN_10014480,ghidra
0x00014550,function,2310,,FUN_10014550,ghidra
0x00014e60,function,297,,FUN_10014e60,ghidra
0x00014f90,function,102,,ActorInstance::onceInit,ghidra
0x00015000,function,287,,ActorInstance::exitInstance,ghidra
0x00015120,function,577,,ActorInstance::initInstance,ghidra
0x00015370,function,231,,ActorInstance::checkEventKeys,ghidra
0x00015460,function,6152,,ActorInstance::refresh,ghidra
0x00016c70,function,70,,std::fmodf,ghidra
0x00016cc0,function,125,,Vector3f::operatorNegate,ghidra
0x00016d40,function,134,,Vector3f::operatorMultVF,ghidra
0x00016dd0,function,112,,FUN_10016dd0,ghidra
0x00016e40,function,84,,FUN_10016e40,ghidra
0x00016ea0,function,66,,FUN_10016ea0,ghidra
0x00016ef0,function,1334,,FUN_10016ef0,ghidra
0x00017430,function,241,,FUN_10017430,ghidra
0x00017530,function,86,,FUN_10017530,ghidra
0x00017590,function,73,,FUN_10017590,ghidra
0x000175e0,function,86,,FUN_100175e0,ghidra
0x00017640,function,73,,FUN_10017640,ghidra
0x00017690,function,86,,FUN_10017690,ghidra
0x000176f0,function,73,,FUN_100176f0,ghidra
0x00017740,function,86,,FUN_10017740,ghidra
0x000177a0,function,73,,FUN_100177a0,ghidra
0x000177f0,function,80,,AnimKey::insertAfter,ghidra
0x00017840,function,91,,AnimKey::AnimKey,ghidra
0x000178a0,function,76,,Animator::init,ghidra
0x000178f0,function,47,,zen_particleGenerator::setEmitPosPtr,ghidra
0x00017920,function,66,,zen_particleGenerator::setEmitDir,ghidra
0x00017970,function,78,,zen_particleGenerator::getAirField,ghidra
0x000179c0,function,93,,zen_particleGenerator::setAirField,ghidra
0x00017a20,function,86,,zen_particleGenerator::pmSwitch,ghidra
0x00017a80,function,59,,zen_particleGenerator::pmSwitchOn,ghidra
0x00017ac0,function,63,,zen_particleGenerator::pmSwitchOff,ghidra
0x00017b00,function,67,,EffectMgr::kill,ghidra
