rva,kind,size,name_mangled,name,source
0x00001cb2,thunk,5,?resetLights@Graphics@@QAEXXZ,Graphics::resetLights(void),ida
0x00001cb7,thunk,5,?makeIdentity@Matrix4f@@QAEXXZ,Matrix4f::makeIdentity(void),ida
0x00001cbc,thunk,5,?inactivate@AyuStack@@QAEXXZ,AyuStack::inactivate(void),ida
0x00001cc1,thunk,5,?drawroutes@BaseShape@@QAEXAAVGraphics@@AAVCamera@@@Z,"BaseShape::drawroutes(Graphics &,Camera &)",ida
0x00001cc6,thunk,5,?makeBillVector@Matrix4f@@QAEXAAVVector3f@@AAV1@0@Z,"Matrix4f::makeBillVector(Vector3f &,Matrix4f &,Vector3f &)",ida
0x00001ccb,thunk,5,?read@SRT@@QAEXAAVRandomAccessStream@@@Z,SRT::read(RandomAccessStream &),ida
0x00001cd0,thunk,5,,sub_10001CD0,ida
0x00001cd5,thunk,5,,j_operatorTimes,ida
0x00001cda,thunk,5,?getRow@Matrix4f@@QAEXHAAVVector3f@@@Z,"Matrix4f::getRow(int,Vector3f &)",ida
0x00001cdf,thunk,5,?add@Vector3f@@QAEXAAV1@0@Z,"Vector3f::add(Vector3f &,Vector3f &)",ida
0x00001ce4,thunk,5,?parseArchiveDirectory@StdSystem@@UAEXPAD0@Z,"StdSystem::parseArchiveDirectory(char *,char *)",ida
0x00001ce9,thunk,5,?getModelMatrix@SRTNode@@UAEPAVMatrix4f@@XZ,SRTNode::getModelMatrix(void),ida
0x00001cee,thunk,5,??4RandomAccessStream@@QAEAAV0@ABV0@@Z,RandomAccessStream::operator=(RandomAccessStream const &),ida
0x00001cf3,thunk,5,,sub_10001CF3,ida
0x00001cf8,thunk,5,?makeConcatSRT@Matrix4f@@QAEXPAV1@AAV1@AAVSRT@@@Z,"Matrix4f::makeConcatSRT(Matrix4f *,Matrix4f &,SRT &)",ida
0x00001cfd,thunk,5,?setDataSize@DataChunk@@QAEXH@Z,DataChunk::setDataSize(int),ida
